Trace
Swept SA
A.03.08,N9010A
1749972654.67134,-61.8451789465114
1749972704.67134,-60.7198224141991
1749972754.67134,-61.0271548129726
1749972804.67134,-61.2152238224103
1749972854.67134,-60.9889292056685
1749972904.67134,-61.9468582747507
1749972954.67134,-62.4529628671201
1749973004.67134,-65.0836364538532
1749973054.67134,-62.9040225739946
1749973104.67134,-61.9629125870895
1749973154.67134,-61.962912574022
1749973204.67134,-64.4116331800121
1749973254.67134,-63.9773923070311
1749973304.67134,-67.413857813103
1749973354.67134,-63.7327493559216
1749973404.67134,-64.8917441701963
1749973454.67134,-62.4636650973463
1749973504.67134,-63.8634801112137
1749973554.67134,-62.6265052613697
1749973604.67134,-62.9468342913575
1749973654.67134,-62.9781790086557
1749973704.67134,-64.3825810734461
1749973754.67134,-64.4146903907045
1749973804.67134,-64.9980102488047
1749973854.67134,-63.0362812877887
1749973904.67134,-61.4621582735094
1749973954.67134,-60.1517906088974
1749974004.67134,-61.5340219798302
1749974054.67134,-59.8337550521008
1749974104.67134,-67.0017864709667
1749974154.67134,-65.5522782878254
1749974204.67134,-65.3213966985658
1749974254.67134,-62.5561693698077
1749974304.67134,-63.4070672768217
1749974354.67134,-60.5745631750577
1749974404.67134,-62.3734516061587
1749974454.67134,-60.5562149582982
1749974504.67134,-64.2556714100906
1749974554.67134,-63.0209901510459
1749974604.67134,-66.5308484457507
1749974654.67134,-64.9077968490901
1749974704.67134,-64.2205036407217
1749974754.67134,-63.3520218947596
1749974804.67134,-64.591290126322
1749974854.67134,-63.2006490966926
1749974904.67134,-67.4750160092399
1749974954.67134,-65.3405082085295
1749975004.67134,-66.0385043527723
1749975054.67134,-66.0033369492951
1749975104.67134,-66.0392687044488
1749975154.67134,-62.7258888034595
1749975204.67134,-63.8932932241606
1749975254.67134,-62.8994322169788
1749975304.67134,-61.9843153748942
1749975354.67134,-61.4514528809336
1749975404.67134,-55.9882751532338
1749975454.67134,-49.3951538815013
1749975504.67134,-42.7668652193592
1749975554.67134,-36.7922313137447
1749975604.67134,-31.5813413868099
1749975654.67134,-27.1991786599641
1749975704.67134,-23.5937565560798
1749975754.67134,-20.7574299902853
1749975804.67134,-18.6466219788122
1749975854.67134,-17.2322811991481
1749975904.67134,-16.4945304306268
1749975954.67134,-16.3699154949483
1749976004.67134,-16.4150214564885
1749976054.67134,-17.0075154556374
1749976104.67134,-18.2850090592879
1749976154.67134,-20.2283895552608
1749976204.67134,-22.9034046734523
1749976254.67134,-26.3521023806567
1749976304.67134,-30.5867148126686
1749976354.67134,-35.7005120049224
1749976404.67134,-42.0466968784893
1749976454.67134,-49.2820051226311
1749976504.67134,-58.2481605817188
1749976554.67134,-61.5248437747702
1749976604.67134,-64.2579615902566
1749976654.67134,-63.3122645654961
1749976704.67134,-63.9590386018961
1749976754.67134,-63.3772476300945
1749976804.67134,-65.4238367456998
1749976854.67134,-65.2304160723114
1749976904.67134,-67.0078982004339
1749976954.67134,-67.3886233878403
1749977004.67134,-68.8847663404152
1749977054.67134,-65.6004378142085
1749977104.67134,-70.4191347173484
1749977154.67134,-64.1975645442439
1749977204.67134,-65.8848347231509
1749977254.67134,-63.1012592691061
1749977304.67134,-66.4857382503209
1749977354.67134,-63.6264764168439
1749977404.67134,-64.6914367002647
1749977454.67134,-64.6081051183528
1749977504.67134,-65.6554816804336
1749977554.67134,-63.4345844076058
1749977604.67134,-62.8978994104119
1749977654.67134,-63.2281670638005
1749977704.67134,-64.3061238869626
1749977754.67134,-64.2931272296132
1749977804.67134,-63.555376395754
1749977854.67134,-63.2166991098039
1749977904.67134,-65.2128307044588
1749977954.67134,-63.3535460113988
1749978004.67134,-66.7762503908368
1749978054.67134,-62.9919332094825
1749978104.67134,-64.7380706203068
1749978154.67134,-62.662430038446
1749978204.67134,-63.2595109839775
1749978254.67134,-63.5278534499055
1749978304.67134,-62.1861409111845
1749978354.67134,-62.0714646119743
1749978404.67134,-64.9360778480508
1749978454.67134,-65.8366687544605
1749978504.67134,-63.299264954878
1749978554.67134,-59.9453661563391
1749978604.67134,-60.1533124125783
1749978654.67134,-60.2465824349451
1749978704.67134,-66.6325216714392
1749978754.67134,-61.7404317313828
1749978804.67134,-63.061502371072
1749978854.67134,-58.0172752290019
1749978904.67134,-59.5432341301843
1749978954.67134,-58.2252215244437
1749979004.67134,-65.3343858028653
1749979054.67134,-64.8099329545337
1749979104.67134,-66.3527109378932
1749979154.67134,-64.1868583284117
1749979204.67134,-64.8512161122868
1749979254.67134,-61.1983944429955
1749979304.67134,-61.1983944429955
1749979354.67134,-62.3765019433142
1749979404.67134,-64.2931246161011
1749979454.67134,-64.1310486992137
1749979504.67134,-62.3359826929405
1749979554.67134,-62.1135106055669
1749979604.67134,-63.4223491617317
1749979654.67134,-61.1509943940887
1749979704.67134,-62.3183986841142
1749979754.67134,-62.3390404002001
1749979804.67134,-63.1914672849858
1749979854.67134,-66.0897188814301
1749979904.67134,-62.3260434553644
1749979954.67134,-62.1769642872993
1749980004.67134,-65.1455506645629
1749980054.67134,-66.6439871948695
1749980104.67134,-65.1272022517899
1749980154.67134,-61.5668861486485
1749980204.67134,-61.6830913864276
1749980254.67134,-61.8314060198704
1749980304.67134,-64.5561140851873
1749980354.67134,-62.1012772936918
1749980404.67134,-61.0745422778186
1749980454.67134,-59.9614178943685
1749980504.67134,-59.4140297130166
1749980554.67134,-59.7695261203465
1749980604.67134,-61.4262158682939
1749980654.67134,-61.4262158682939
1749980704.67134,-65.2487581995878
1749980754.67134,-62.699122342616
1749980804.67134,-60.7847929339395
1749980854.67134,-59.9239562597815
1749980904.67134,-61.0095582723558
1749980954.67134,-59.9415399419188
1749981004.67134,-62.7732792607768
1749981054.67134,-62.3229836442275
1749981104.67134,-64.3634567572732
1749981154.67134,-64.1799746158127
1749981204.67134,-62.0729891075727
1749981254.67134,-62.3665603535773
1749981304.67134,-62.1555558804436
1749981354.67134,-62.1555558804436
1749981404.67134,-65.023227111266
1749981454.67134,-63.4330494187563
1749981504.67134,-66.2854304667678
1749981554.67134,-63.435342787407
1749981604.67134,-65.5927855813812
1749981654.67134,-62.4850584765074
1749981704.67134,-62.6784791106931
1749981754.67134,-61.4040433319103
1749981804.67134,-61.8314035501014
1749981854.67134,-58.1090115431401
1749981904.67134,-59.6074482041223
1749981954.67134,-57.7298153073702
1749982004.67134,-60.8436582710604
1749982054.67134,-62.2190089610682
1749982104.67134,-63.185347545104
1749982154.67134,-61.6815592724414
1749982204.67134,-61.0133787762522
1749982254.67134,-59.409439852568
1749982304.67134,-63.2709721820452
1749982354.67134,-59.5332902144215
1749982404.67134,-61.5959339298519
1749982454.67134,-60.6112469461107
1749982504.67134,-61.4674963863998
1749982554.67134,-60.2343441443294
1749982604.67134,-61.5966981769879
1749982654.67134,-59.7725807567294
1749982704.67134,-59.7404713872008
1749982754.67134,-59.3100530435881
1749982804.67134,-65.0400440634309
1749982854.67134,-60.6555877980559
1749982904.67134,-60.9659782177106
1749982954.67134,-62.2304751378765
1749983004.67134,-63.5614843356287
1749983054.67134,-63.0660827052689
1749983104.67134,-63.9957249995287
1749983154.67134,-60.1426020804645
1749983204.67134,-60.9178136472491
1749983254.67134,-60.2075852888062
1749983304.67134,-63.9574993007516
1749983354.67134,-62.38796325899
1749983404.67134,-60.0187513527194
1749983454.67134,-60.0317479839336
1749983504.67134,-62.4735880135393
1749983554.67134,-64.8802605873974
1749983604.67134,-61.0561890561834
1749983654.67134,-58.0058001139822
1749983704.67134,-56.5891658219242
1749983754.67134,-56.5891658219242
1749983804.67134,-60.2939737808565
1749983854.67134,-58.4614469632527
1749983904.67134,-63.2411538682092
1749983954.67134,-61.8703901115163
1749984004.67134,-62.8092063900141
1749984054.67134,-62.2855179848319
1749984104.67134,-69.3335216626854
1749984154.67134,-64.4918892958496
1749984204.67134,-66.806821021126
1749984254.67134,-62.9682237502504
1749984304.67134,-63.6279945354727
1749984354.67134,-61.5103059737503
1749984404.67134,-61.5187154364335
1749984454.67134,-61.0447201351874
1749984504.67134,-64.5622236323719
1749984554.67134,-63.3619451507092
1749984604.67134,-64.0614703772642
1749984654.67134,-62.8344342292262
1749984704.67134,-65.1883557697401
1749984754.67134,-61.0898255870927
1749984804.67134,-62.5301596030502
1749984854.67134,-59.2702953353653
1749984904.67134,-64.2510680377845
1749984954.67134,-63.6845672095912
1749985004.67134,-66.0354306638861
1749985054.67134,-63.8412911619741
1749985104.67134,-65.6745824749975
1749985154.67134,-61.8000534097656
1749985204.67134,-63.4620948216637
1749985254.67134,-61.5783458570143
1749985304.67134,-64.8267423013783
1749985354.67134,-61.3650477016084
1749985404.67134,-63.0515533850958
1749985454.67134,-61.6402706263128
1749985504.67134,-62.9483445825176
1749985554.67134,-62.6119608742993
